conference_topic,journal,extracted_concept
Reproductive justice and abortion rights,abortion,abortion rights
Reproductive justice and abortion rights,abortion,reproductive justice
Moral conflict and abortion ethics,abortion,abortion ethics
Moral conflict and abortion ethics,abortion,moral conflict
Religious perspectives on abortion,abortion,religious studies
Using data-driven methods to detect financial statement fraud in the real scenario,accounting information systems,financial statement fraud detection
Board roles required for it governance to become an integral component of corporate governance,accounting information systems,corporate governance
Does cybersecurity maturity level assurance improve cybersecurity risk management in supply chains?,accounting information systems,cybersecurity
Artificial intelligence co-piloted auditing,accounting information systems,artificial intelligence
Artificial intelligence co-piloted auditing,accounting information systems,auditing
A classification of achilles tendon disease,achilles tendon ruptures,orthopedics
Full frequency band vibro-acoustic analysis of a sandwich composite structure,acoustic analysis,composite structures
Full frequency band vibro-acoustic analysis of a sandwich composite structure,acoustic analysis,vibro-acoustics
Acoustic analysis of structures with local nonlinear behaviour,acoustic analysis,acoustics
Acoustic analysis of structures with local nonlinear behaviour,acoustic analysis,nonlinear dynamics
Methods and techniques for voice analysis.,acoustic analysis,speech processing
Methods and techniques for voice analysis.,acoustic analysis,voice analysis
New technological and computational perspectives on voice analysis.,acoustic analysis,computational acoustics
New technological and computational perspectives on voice analysis.,acoustic analysis,voice analysis
Harnessing topology in acoustics: advances in sound control and manipulation,acoustics,sound control
Harnessing topology in acoustics: advances in sound control and manipulation,acoustics,topology
Special issue: bayesian methods in acoustical science and engineering,acoustics,acoustical science
Special issue: bayesian methods in acoustical science and engineering,acoustics,bayesian methods
Special issue: bayesian methods in acoustical science and engineering,acoustics,acoustical engineering
"Special issue: advanced air mobility noise: predictions, measurements, and perception",acoustics,noise measurement
"Special issue: advanced air mobility noise: predictions, measurements, and perception",acoustics,air mobility noise
"Special issue: advanced air mobility noise: predictions, measurements, and perception",acoustics,noise prediction
"Special issue: sound absorption and diffusion: modeling, measurement and application",acoustics,sound diffusion
"Special issue: sound absorption and diffusion: modeling, measurement and application",acoustics,sound absorption
Special issue: active and tunable acoustic metamaterials,acoustics,acoustic metamaterials
Ultrasonics in the brain,acoustics,ultrasonics
Ultrasonics in the brain,acoustics,neuroacoustics
Immersive audio and soundscape design,acoustics,soundscape design
Immersive audio and soundscape design,acoustics,immersive audio
Ai and machine learning in acoustic signal processing,acoustics,machine learning
Ai and machine learning in acoustic signal processing,acoustics,artificial intelligence
Ai and machine learning in acoustic signal processing,acoustics,acoustic signal processing
Cross-language comparisons of soundscape or environmental noise questionnaires and protocols.,acoustics,environmental noise
Cross-language comparisons of soundscape or environmental noise questionnaires and protocols.,acoustics,questionnaires
Cross-language comparisons of soundscape or environmental noise questionnaires and protocols.,acoustics,protocols
Phoneme distortions and distorted substitutions or additions,acquired apraxia of speech,phonetics
Reduced overall speech rate,acquired apraxia of speech,speech production
"Syllable segregation with extended intra- and intersegmental durations, and",acquired apraxia of speech,phonetics
"Syllable segregation with extended intra- and intersegmental durations, and",acquired apraxia of speech,speech timing
Voicing errors (blurred distinctions between boundaries of voiced–voiceless consonants),acquired apraxia of speech,speech production
Voicing errors (blurred distinctions between boundaries of voiced–voiceless consonants),acquired apraxia of speech,phonetics
Prolonged phonemes,acquired apraxia of speech,speech production
Prolonged phonemes,acquired apraxia of speech,phonetics
"Telescoping of syllables (e.g., “disaur” instead of “dinosaur”)",acquired apraxia of speech,speech production
Alternating motion rates (amrs) that may be characterized by place or manner errors,acquired apraxia of speech,speech motor control
Alternating motion rates (amrs) that may be characterized by place or manner errors,acquired apraxia of speech,phonetics
Poorly sequenced sequential motion rates (smrs),acquired apraxia of speech,speech motor control
Aas with people with cognitive–communication disorders,acquired neurogenic communication disorders,cognitive communication
Aas with people with aphasia,acquired neurogenic communication disorders,aphasia
Aas with people with apraxia of speech,acquired neurogenic communication disorders,apraxia of speech
Aas with people with a variety of acquired neurogenic speech–language diagnoses,acquired neurogenic communication disorders,speech and language disorders
Experiences of speech and language therapists implementing and delivering aas,acquired neurogenic communication disorders,language therapy
Experiences of speech and language therapists implementing and delivering aas,acquired neurogenic communication disorders,speech therapy
Acute respiratory distress syndrome (ards),acute lung injury,acute respiratory distress syndrome
"Trauma, cell death and organ injury",acute lung injury,cell death
"Trauma, cell death and organ injury",acute lung injury,organ injury
"Trauma, cell death and organ injury",acute lung injury,trauma
Adapted science units special education social studies curriculum special ed,adapted curriculum,special education
Adapted science units special education social studies curriculum special ed,adapted curriculum,social studies education
Adapted science units special education social studies curriculum special ed,adapted curriculum,science education
Full year ela curriculum for special education adapted ela yearlong curriculum,adapted curriculum,special education
Full year ela curriculum for special education adapted ela yearlong curriculum,adapted curriculum,english language arts
Adapting curriculum - strategies to differentiate instruction and meet udl,adapted curriculum,universal design for learning
Adapting curriculum - strategies to differentiate instruction and meet udl,adapted curriculum,differentiated instruction
Special education adapted books year long curriculum bundle low prep,adapted curriculum,special education
Habitats animal adapted science units special education curriculum science sped,adapted curriculum,special education
Habitats animal adapted science units special education curriculum science sped,adapted curriculum,animal science
Habitats animal adapted science units special education curriculum science sped,adapted curriculum,science education
Chemistry curriculum adapted science units special education science experiments,adapted curriculum,chemistry
